costat,curcdq,datafmt,indfmt,consol,tic,datadate,gvkey,atq,niq,revtq
A,USD,STD,INDL,C,AAPL,2015-03-31,001690,261194.0000,13569.0000,58010.0000
A,USD,STD,INDL,C,AAPL,2015-06-30,001690,273151.0000,10677.0000,49605.0000
A,USD,STD,INDL,C,AAPL,2015-09-30,001690,290479.0000,11124.0000,51501.0000
A,USD,STD,INDL,C,AAPL,2015-12-31,001690,293284.0000,18361.0000,75324.0000
A,USD,STD,INDL,C,AAPL,2016-03-31,001690,305277.0000,10516.0000,50557.0000
A,USD,STD,INDL,C,AAPL,2016-06-30,001690,305602.0000,7796.0000,42358.0000
A,USD,STD,INDL,C,AAPL,2016-09-30,001690,321686.0000,9014.0000,46852.0000
A,USD,STD,INDL,C,AAPL,2016-12-31,001690,331141.0000,17891.0000,78351.0000
A,USD,STD,INDL,C,AAPL,2017-03-31,001690,334532.0000,11029.0000,52896.0000
A,USD,STD,INDL,C,AAPL,2017-06-30,001690,345173.0000,8717.0000,45408.0000
A,USD,STD,INDL,C,AAPL,2017-09-30,001690,375319.0000,10714.0000,52579.0000
A,USD,STD,INDL,C,AAPL,2017-12-31,001690,406794.0000,20065.0000,88293.0000
A,USD,STD,INDL,C,AAPL,2018-03-31,001690,367502.0000,13822.0000,61137.0000
A,USD,STD,INDL,C,AAPL,2018-06-30,001690,349197.0000,11519.0000,53029.0000
A,USD,STD,INDL,C,AAPL,2018-09-30,001690,365725.0000,14125.0000,62900.0000
A,USD,STD,INDL,C,AAPL,2018-12-31,001690,373719.0000,19965.0000,84310.0000
A,USD,STD,INDL,C,AAPL,2019-03-31,001690,341998.0000,11561.0000,58015.0000
A,USD,STD,INDL,C,AAPL,2019-06-30,001690,322239.0000,10044.0000,53809.0000
A,USD,STD,INDL,C,AAPL,2019-09-30,001690,338516.0000,13686.0000,64040.0000
A,USD,STD,INDL,C,AAPL,2019-12-31,001690,340618.0000,22236.0000,91819.0000
A,USD,STD,INDL,C,AAPL,2020-03-31,001690,320400.0000,11249.0000,58313.0000
A,USD,STD,INDL,C,AAPL,2020-06-30,001690,317344.0000,11253.0000,59685.0000
A,USD,STD,INDL,C,AAPL,2020-09-30,001690,323888.0000,12673.0000,64698.0000
A,USD,STD,INDL,C,AAPL,2020-12-31,001690,354054.0000,28755.0000,111439.0000
A,USD,STD,INDL,C,AAPL,2021-03-31,001690,337158.0000,23630.0000,89584.0000
A,USD,STD,INDL,C,AAPL,2021-06-30,001690,329840.0000,21744.0000,81434.0000
A,USD,STD,INDL,C,AAPL,2021-09-30,001690,351002.0000,20551.0000,83360.0000
A,USD,STD,INDL,C,AAPL,2021-12-31,001690,381191.0000,34630.0000,123945.0000
A,USD,STD,INDL,C,AAPL,2022-03-31,001690,350662.0000,25010.0000,97278.0000
A,USD,STD,INDL,C,AAPL,2022-06-30,001690,336309.0000,19442.0000,82959.0000
A,USD,STD,INDL,C,AAPL,2022-09-30,001690,352755.0000,20721.0000,90146.0000
A,USD,STD,INDL,C,AAPL,2022-12-31,001690,346747.0000,29998.0000,117154.0000
A,USD,STD,INDL,C,AAPL,2023-03-31,001690,332160.0000,24160.0000,94836.0000
A,USD,STD,INDL,C,AAPL,2023-06-30,001690,335038.0000,19881.0000,81797.0000
A,USD,STD,INDL,C,AAPL,2023-09-30,001690,352583.0000,22956.0000,89498.0000
A,USD,STD,INDL,C,AAPL,2023-12-31,001690,353514.0000,33916.0000,119575.0000
A,USD,STD,INDL,C,AAPL,2024-03-31,001690,337411.0000,23636.0000,90753.0000
A,USD,STD,INDL,C,AAPL,2024-06-30,001690,331612.0000,21448.0000,85777.0000
A,USD,STD,INDL,C,AAPL,2024-09-30,001690,364980.0000,14736.0000,94930.0000
A,USD,STD,INDL,C,AAPL,2024-12-31,001690,344085.0000,36330.0000,124300.0000
A,USD,STD,INDL,C,AAPL,2025-03-31,001690,331233.0000,24780.0000,95359.0000
A,USD,STD,INDL,C,AAPL,2025-06-30,001690,331495.0000,23434.0000,94036.0000
A,USD,STD,INDL,C,AAPL,2025-09-30,001690,359241.0000,27466.0000,102466.0000
